211: 3.138250, 7.554608 avg, 0.000002 rate, 0.956084 seconds, 1688 images
212: 3.599121, 7.159060 avg, 0.000002 rate, 1.021384 seconds, 1696 images
213: 2.839592, 6.727113 avg, 0.000002 rate, 1.017909 seconds, 1704 images
214: 3.556003, 6.410002 avg, 0.000002 rate, 1.021457 seconds, 1712 images
215: 4.405885, 6.209590 avg, 0.000002 rate, 1.022281 seconds, 1720 images
216: 2.542151, 5.842846 avg, 0.000002 rate, 1.020736 seconds, 1728 images
217: 3.375675, 5.596129 avg, 0.000002 rate, 1.023749 seconds, 1736 images
218: 3.768931, 5.413409 avg, 0.000002 rate, 1.022570 seconds, 1744 images
219: 2.237938, 5.095862 avg, 0.000002 rate, 1.017706 seconds, 1752 images
220: 2.722463, 4.858522 avg, 0.000002 rate, 1.023323 seconds, 1760 images
221: 2.747261, 4.647396 avg, 0.000002 rate, 0.956972 seconds, 1768 images
222: 4.088268, 4.591483 avg, 0.000002 rate, 1.019473 seconds, 1776 images
223: 2.580137, 4.390348 avg, 0.000002 rate, 1.022776 seconds, 1784 images
224: 2.074048, 4.158718 avg, 0.000003 rate, 1.023588 seconds, 1792 images
225: 3.587242, 4.101571 avg, 0.000003 rate, 1.018630 seconds, 1800 images
226: 3.005081, 3.991922 avg, 0.000003 rate, 1.024485 seconds, 1808 images
227: 3.772614, 3.969991 avg, 0.000003 rate, 1.021624 seconds, 1816 images
228: 2.607109, 3.833703 avg, 0.000003 rate, 1.020672 seconds, 1824 images
229: 2.373252, 3.687658 avg, 0.000003 rate, 1.023599 seconds, 1832 images
230: 2.262122, 3.545104 avg, 0.000003 rate, 1.019380 seconds, 1840 images
231: 3.251149, 3.515709 avg, 0.000003 rate, 1.084618 seconds, 1848 images
232: 3.668532, 3.530991 avg, 0.000003 rate, 1.158196 seconds, 1856 images
233: 4.435005, 3.621392 avg, 0.000003 rate, 1.154367 seconds, 1864 images
234: 2.361947, 3.495448 avg, 0.000003 rate, 1.158468 seconds, 1872 images
235: 2.600964, 3.405999 avg, 0.000003 rate, 1.155007 seconds, 1880 images
236: 3.164516, 3.381851 avg, 0.000003 rate, 1.154527 seconds, 1888 images
237: 2.497592, 3.293425 avg, 0.000003 rate, 1.157715 seconds, 1896 images
238: 2.787955, 3.242878 avg, 0.000003 rate, 1.157056 seconds, 1904 images
239: 2.170300, 3.135620 avg, 0.000003 rate, 1.154706 seconds, 1912 images
240: 2.855507, 3.107609 avg, 0.000003 rate, 1.157692 seconds, 1920 images
241: 3.785457, 3.175394 avg, 0.000003 rate, 1.667420 seconds, 1928 images
242: 2.992236, 3.157078 avg, 0.000003 rate, 1.773447 seconds, 1936 images
243: 3.109783, 3.152349 avg, 0.000003 rate, 1.775704 seconds, 1944 images
244: 2.705688, 3.107682 avg, 0.000004 rate, 1.770777 seconds, 1952 images
245: 2.609302, 3.057844 avg, 0.000004 rate, 1.771587 seconds, 1960 images
246: 2.980164, 3.050076 avg, 0.000004 rate, 1.777042 seconds, 1968 images
247: 2.704924, 3.015561 avg, 0.000004 rate, 1.777322 seconds, 1976 images
248: 3.643200, 3.078325 avg, 0.000004 rate, 1.773109 seconds, 1984 images
249: 2.416131, 3.012106 avg, 0.000004 rate, 1.776283 seconds, 1992 images
250: 2.316351, 2.942530 avg, 0.000004 rate, 1.773706 seconds, 2000 images
251: 2.800531, 2.928330 avg, 0.000004 rate, 2.677403 seconds, 2008 images
252: 3.225421, 2.958039 avg, 0.000004 rate, 2.842996 seconds, 2016 images
253: 2.769609, 2.939196 avg, 0.000004 rate, 2.841292 seconds, 2024 images
