Region 82 Avg IOU: 0.567586, Class: 0.766618, Obj: 0.337759, No Obj: 0.613324, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.499907, Class: 0.476780, Obj: 0.507655, No Obj: 0.616916, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.062175, Class: 0.616091, Obj: 0.589651, No Obj: 0.616074, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.464041, Class: 0.182355, Obj: 0.542188, No Obj: 0.615265, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.243413, Class: 0.448433, Obj: 0.389878, No Obj: 0.615737, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.565050, Class: 0.418932, Obj: 0.338846, No Obj: 0.617363, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.131897, Class: 0.187271, Obj: 0.404241, No Obj: 0.616004, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.092777, Class: 0.626735, Obj: 0.604717, No Obj: 0.612505, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.068445, Class: 0.902731, Obj: 0.717111, No Obj: 0.617437, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.132106, Class: 0.257094, Obj: 0.453936, No Obj: 0.613829, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.386160, Class: 0.532314, Obj: 0.349333, No Obj: 0.614711, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.281611, Class: 0.531187, Obj: 0.500143, No Obj: 0.618149, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.483047, Class: 0.734060, Obj: 0.317673, No Obj: 0.616407, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.140682, Class: 0.389127, Obj: 0.437191, No Obj: 0.619631, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.177752, Class: 0.142011, Obj: 0.564394, No Obj: 0.615784, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.427508, Class: 0.302912, Obj: 0.233830, No Obj: 0.616043, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.743213, Class: 0.409617, Obj: 0.517866, No Obj: 0.615829, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.234644, Class: 0.342247, Obj: 0.609250, No Obj: 0.618097, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.114518, Class: 0.684094, Obj: 0.326689, No Obj: 0.611733, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.182154, Class: 0.710344, Obj: 0.664924, No Obj: 0.617366, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.147984, Class: 0.134317, Obj: 0.653173, No Obj: 0.617584, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.148224, Class: 0.281018, Obj: 0.581536, No Obj: 0.617315, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.277732, Class: 0.829179, Obj: 0.640106, No Obj: 0.620502, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.056936, Class: 0.819437, Obj: 0.536082, No Obj: 0.621925, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.218056, Class: 0.467736, Obj: 0.640998, No Obj: 0.617776, .5R: 0.000000, .75R: 0.000000,  count: 1
